ra_rad,dec_rad,magnitude,bv
4.1493412709,-0.5869047537,3.970,-0.045
5.2385650416,-1.2725283466,3.970,-0.032
5.8872987378,-0.7591408114,3.970,1.022
5.9626174486,0.4112982513,3.970,1.070
1.0426815704,0.6246713606,3.980,0.016
5.6460571165,0.7957276745,3.980,0.885
0.5236207634,-0.3678775586,3.990,1.554
1.6356158788,-0.1095155030,3.990,1.319
2.7244394032,-1.2920953761,3.990,0.369
3.5134558304,0.9597209084,3.990,0.169
6.0974380262,-1.0164053017,3.990,0.410
2.3668699127,-1.1588301440,4.000,0.145
2.9841821958,0.1837745936,4.000,0.423
4.2411307925,-0.3396534321,4.000,0.076
0.4523042075,0.8846852735,4.010,-0.098
1.2457397376,-0.0568044881,4.010,-0.148
1.8505240284,0.3590194113,4.010,0.899
1.8972205212,-0.4672711936,4.010,-0.150
3.8482761370,-0.6596209835,4.010,-0.157
4.1970453902,1.0221564644,4.010,0.528
4.2753639578,-0.8753787455,4.010,1.080
4.9001670960,-1.2466557559,4.010,1.134
5.3642501734,0.5300312739,4.010,0.404
2.3148835202,-0.4836280191,4.020,1.272
3.1783035478,-0.4316002974,4.020,0.334
4.9725418233,0.2629914149,4.020,1.082
4.9815207285,-0.1001664504,4.020,1.079
0.5991469431,0.5907449693,4.030,0.019
1.3239117708,1.0549161900,4.030,0.921
2.2981493603,0.5019549166,4.030,1.007
3.3798039003,-0.9979430328,4.030,-0.180
4.7361898460,0.0436349668,4.030,0.860
5.3809061490,0.1972791513,4.030,-0.123
6.2801810781,0.1197875500,4.030,0.419
1.0989712977,-0.1193383030,4.040,0.327
3.0798922844,0.1139591153,4.040,1.501
3.7751385591,0.9049661940,4.040,0.497
5.9138576728,-0.0020507188,4.040,-0.083
0.8249312929,0.8659150462,4.050,0.595
2.1752133635,-1.3425024173,4.050,0.413
2.2881231590,-0.7443702885,4.050,0.874
2.9720189764,0.1052315147,4.050,-0.058
3.6192778637,0.2757254551,4.050,1.520
3.7548898318,-0.6612231312,4.050,-0.030
3.8305057315,-0.8626434373,4.050,-0.152
5.9759711693,-0.2372361789,4.050,1.570
1.2931635789,0.2358719239,4.060,1.158
1.9893371280,0.4694192291,4.060,1.540
2.9883619477,-0.3086441924,4.060,0.216
3.2182781557,-1.1861385986,4.060,1.603
3.2220431170,-1.1170643143,4.060,-0.168
3.8556830543,-0.6138960929,4.060,1.356
4.4487749745,-0.9278246687,4.060,1.452
3.7350678498,-0.1047292951,4.070,0.511
3.9655785473,-0.7902825976,4.070,-0.162
4.0034146212,-1.0262746834,4.070,0.088
5.8868688437,1.0195375456,4.070,0.778
0.2065547077,0.4235421551,4.080,1.100
0.6185006010,-1.1983329070,4.080,0.034
0.6958741676,0.0057335917,4.080,-0.212
0.7958343542,-0.4123248134,4.080,0.163
1.8072447738,-0.2101136938,4.080,1.418
2.5064859856,-1.0337542096,4.080,-0.013
2.8788099899,-0.3193740190,4.080,1.079
4.9538332239,0.7670039361,4.080,1.397
5.5237362434,-0.3007701588,4.080,-0.010
5.5941580851,0.3456538700,4.080,1.108
1.4700317151,0.1621528273,4.090,0.951
4.1396576094,0.3166300164,4.090,1.616
0.4223606834,0.7226615841,4.100,0.536
0.7164491350,0.8591984968,4.100,0.514
2.0474382010,-0.8093651165,4.100,-0.160
4.8381847729,-0.8564433234,4.100,0.995
5.0179492829,-0.6866264223,4.100,1.163
0.7010413471,-0.6956075258,4.110,1.006
1.8489940036,-0.2728523121,4.110,-0.112
2.2586476947,-0.7503009993,4.110,0.109
2.5808106064,-0.2591221072,4.110,0.918
2.7727606700,-1.3719646769,4.110,1.580
3.0827486001,-1.0677644835,4.110,0.895
4.0872121237,-1.1574506537,4.110,1.161
5.0155183618,-0.6615578790,4.110,0.042
6.0252282798,-0.9207333827,4.110,0.960
0.6963336206,-1.1914829802,4.120,-0.061
1.1122009308,0.8449022120,4.120,0.935
1.5811954780,0.1683767388,4.120,0.170
3.1643212768,0.1524193491,4.120,0.967
5.2153123384,-0.7307394781,4.120,1.063
5.4621018089,-0.4698274947,4.120,1.633
5.8894271487,-0.7635679971,4.120,1.570
1.4134860379,-0.1362764345,4.130,0.943
1.6971717583,0.3527682687,4.130,-0.115
4.1618492552,-0.2919812527,4.130,1.003
5.4371177564,-0.4410603667,4.130,0.426
5.9605678070,-1.4203771337,4.130,0.208
6.1957035679,0.0981973119,4.130,0.507
0.9201068925,0.2257876262,4.140,1.112
0.9875343911,0.4179777029,4.140,-0.051
